pdb_id,chain_a,chain_b,split,num_residues,num_binding
1BEN,B,A,test,30,20
1AY7,A,B,train,96,19
1AY7,B,A,train,89,20
1CGI,E,I,train,245,33
1CGI,I,E,train,56,19
1D4T,A,B,train,104,28
1A3N,A,B,val,141,23
1A3N,B,A,val,145,24
1A3N,C,A,val,141,6
1A3N,D,A,val,145,18
1CSE,E,I,test,274,31
1CSE,I,E,test,63,15
1DLF,L,H,train,113,23
1DLF,H,L,train,120,23
1ATN,A,D,train,371,17
1ATN,D,A,train,258,24
1A2K,A,B,val,124,43
1A2K,B,A,val,124,39
1A2K,C,A,val,196,2
1A2K,D,A,val,199,20
1A2K,E,A,val,205,0
1BVN,P,T,train,496,32
1BVN,T,P,train,71,24
1FM0,D,E,train,81,24
1FM0,E,D,train,142,31
1C1X,A,B,train,348,0
1C1X,B,A,train,347,0
1C1D,A,B,val,350,0
1C1D,B,A,val,349,0
1FC2,C,D,test,44,14
1FC2,D,C,test,207,17
1FY4,A,B,train,224,23
1FY5,A,B,train,224,23
1G7B,B,A,val,30,22
1G7B,F,A,val,30,0
1DFJ,E,I,test,124,30
1DFJ,I,E,test,456,35
1FN8,A,B,test,224,23
1G7A,B,A,val,30,21
1G7A,F,A,val,30,0
1GG6,B,A,train,131,16
1GG6,C,A,train,97,6
1GA1,A,I,train,370,14
1GDQ,A,B,val,224,27
1GDU,A,B,train,224,22
1GDN,A,B,test,224,24
1GA4,A,I,train,369,22
1GA6,A,I,train,369,11
1GRN,A,B,train,191,22
1GRN,B,A,train,197,32
1GVK,B,A,train,240,25
1GVU,A,I,val,328,28
1E6E,A,B,val,457,28
1E6E,B,A,val,113,28
1E6E,C,A,val,456,38
1E6E,D,A,val,106,0
1HAZ,B,A,train,240,18
1GVX,A,I,train,328,27
1H8D,H,I,val,260,17
1GK9,A,B,val,208,158
1GK9,B,A,val,557,186
1HRC,A,,val,104,33
1GKF,A,B,train,207,157
1GKF,B,A,train,557,180
1GM7,A,B,train,206,156
1GM7,B,A,train,557,179
1I73,A,B,train,163,14
1IRD,A,B,train,141,24
1IRD,B,A,train,146,29
1I4F,A,B,val,275,40
1I4F,B,A,val,100,31
1HE1,A,B,train,135,4
1HE1,B,A,train,135,7
1HE1,C,A,train,176,26
1HE1,D,A,train,176,5
1H2R,S,L,test,267,94
1H2R,L,S,test,534,87
1JBO,A,B,train,162,41
1JBO,B,A,train,171,37
1JLT,A,B,train,122,39
1JLT,B,A,train,122,42
1JEU,A,B,train,517,28
1JET,A,B,train,517,24
1JEV,A,B,train,517,32
1JY2,N,O,train,43,20
1JY2,O,N,train,51,23
1JY2,P,N,train,44,19
1JY2,Q,N,train,43,1
1JY2,R,N,train,50,18
1JY2,S,N,train,47,3
1J40,A,B,train,141,25
1J40,B,A,train,146,28
1J40,C,A,train,141,12
1J40,D,A,train,146,16
1J40,E,A,train,141,0
1J40,F,A,train,146,0
1J40,G,A,train,141,0
1J40,H,A,train,146,0
1K5N,A,B,train,276,51
1K5N,B,A,train,100,32
1KAC,A,B,train,185,15
1KAC,B,A,train,124,22
1JTG,A,B,train,262,36
1JTG,B,A,train,165,34
1JTG,C,A,train,261,2
1JTG,D,A,train,165,0
1J41,A,B,train,141,25
1J41,B,A,train,146,29
1J41,C,A,train,141,12
1J41,D,A,train,146,19
1J41,E,A,train,141,0
1J41,F,A,train,146,0
